"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051249","regulation of lymphocyte activation","21/168","485/18670",2.77635834285011e-09,4.61492453433752e-07,3.6157602511855e-07,"DTX1/IGHA2/IGLC3/IGLC1/IGLC2/ADA/EBI3/AHR/IGKC/LGALS3/IGHV5-51/TFRC/IGHV3-49/CAV1/MDK/HSPD1/RAC1/NFKBIZ/IRF4/MZB1/MIF",21
"GO:0009156","ribonucleoside monophosphate biosynthetic process","14/168","197/18670",3.01954410438121e-09,4.63316114129476e-07,3.63004850185175e-07,"ADA/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/TPI1/ATP5MC1/ENO1/PGAM1",14
"GO:0007006","mitochondrial membrane organization","12/168","134/18670",3.09703284845906e-09,4.63316114129476e-07,3.63004850185175e-07,"BID/ATP5MC2/PMAIP1/TFDP1/ATP5MF/ATP5MC3/PDCD5/ATP5PF/ATP5F1B/ATP5MC1/BAX/HSP90AA1",12
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","18/168","361/18670",4.62959518720511e-09,6.59607085719891e-07,5.16797417639388e-07,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/BATF/SEMA4A/EBI3/IGKC/IGHV5-51/TFRC/IGHV3-49/KLHL6/HSPD1/C1QBP/NFKBIZ/IRF4/POU2F2",18
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","13/168","171/18670",4.99978986260865e-09,6.79971421314777e-07,5.32752728422463e-07,"NME1/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",13
"GO:0009145","purine nucleoside triphosphate biosynthetic process","13/168","172/18670",5.36681021600047e-09,6.98152007229279e-07,5.46997087003801e-07,"NME1/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",13
"GO:0009201","ribonucleoside triphosphate biosynthetic process","13/168","177/18670",7.5946704418347e-09,9.46802248415393e-07,7.41812766402012e-07,"NME1/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",13
"GO:0006164","purine nucleotide biosynthetic process","16/168","300/18670",1.35931110969668e-08,1.62682353608499e-06,1.27460456475558e-06,"ADA/NME1/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",16
"GO:0072522","purine-containing compound biosynthetic process","16/168","313/18670",2.46512536129207e-08,2.8367904157638e-06,2.22260493101111e-06,"ADA/NME1/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",16
"GO:0009152","purine ribonucleotide biosynthetic process","15/168","280/18670",3.71600707927229e-08,4.117886363401e-06,3.22633441151634e-06,"NME1/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",15
"GO:0042776","mitochondrial ATP synthesis coupled proton transport","6/168","23/18670",4.31659146092201e-08,4.61258630395666e-06,3.61392826446365e-06,"ATP5MC2/ATP5MF/ATP5MC3/ATP5PF/ATP5F1B/ATP5MC1",6
"GO:0051251","positive regulation of lymphocyte activation","16/168","334/18670",6.07086644872041e-08,6.18550772104641e-06,4.84630090584378e-06,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/EBI3/IGKC/IGHV5-51/TFRC/IGHV3-49/CAV1/MDK/HSPD1/RAC1/NFKBIZ/MIF",16
"GO:0002696","positive regulation of leukocyte activation","17/168","380/18670",6.20204651174439e-08,6.18550772104641e-06,4.84630090584378e-06,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/EBI3/IGKC/IGHV5-51/TFRC/IGHV3-49/CAV1/MDK/HSPD1/RAC1/NFKBIZ/MIF/CCL3",17
"GO:0009260","ribonucleotide biosynthetic process","15/168","293/18670",6.75204370358367e-08,6.51681121326527e-06,5.10587481422099e-06,"NME1/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",15
"GO:0046390","ribose phosphate biosynthetic process","15/168","300/18670",9.19234083770665e-08,8.47192757234018e-06,6.63769444962059e-06,"NME1/PAICS/GAPDH/ATP5MC2/ATP5MF/ATP5MC3/AK2/PKM/ATP5PF/ATP5F1B/NME2/TPI1/ATP5MC1/ENO1/PGAM1",15
"GO:0015985","energy coupled proton transport, down electrochemical gradient","6/168","26/18670",9.62719042311384e-08,8.47192757234018e-06,6.63769444962059e-06,"ATP5MC2/ATP5MF/ATP5MC3/ATP5PF/ATP5F1B/ATP5MC1",6
"GO:0015986","ATP synthesis coupled proton transport","6/168","26/18670",9.62719042311384e-08,8.47192757234018e-06,6.63769444962059e-06,"ATP5MC2/ATP5MF/ATP5MC3/ATP5PF/ATP5F1B/ATP5MC1",6
"GO:0050867","positive regulation of cell activation","17/168","394/18670",1.04298459469926e-07,8.91602830668626e-06,6.9856441876549e-06,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/EBI3/IGKC/IGHV5-51/TFRC/IGHV3-49/CAV1/MDK/HSPD1/RAC1/NFKBIZ/MIF/CCL3",17
"GO:0050864","regulation of B cell activation","12/168","184/18670",1.08754950411554e-07,9.038744767538e-06,7.0817916539921e-06,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/AHR/IGKC/IGHV5-51/TFRC/IGHV3-49/MZB1/MIF",12
"GO:0006260","DNA replication","14/168","274/18670",1.92898430948857e-07,1.52939969663719e-05,1.19827368576239e-05,"CCDC88A/HMGA1/MCM2/POLD2/MCM7/SSBP1/PCLAF/NAP1L1/SET/RAC1/RPA3/PCNA/DUT/RRM2",14
"GO:0015949","nucleobase-containing small molecule interconversion","6/168","29/18670",1.94241940080927e-07,1.52939969663719e-05,1.19827368576239e-05,"NME1/TYMS/AK2/NME2/DUT/RRM2",6
"GO:0006754","ATP biosynthetic process","11/168","160/18670",2.20100964005396e-07,1.6885694469337e-05,1.32298204275308e-05,"GAPDH/ATP5MC2/ATP5MF/ATP5MC3/PKM/ATP5PF/ATP5F1B/TPI1/ATP5MC1/ENO1/PGAM1",11
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/168","97/18670",2.26434621330401e-07,1.6937309675514e-05,1.32702605711264e-05,"COX5A/UQCRH/BID/COX6A1/NDUFA4/NDUFC2/NDUFB4/NDUFA12/UQCRQ",9
"GO:0000082","G1/S transition of mitotic cell cycle","14/168","279/18670",2.40497700426057e-07,1.75504663335308e-05,1.37506644120367e-05,"CDK4/BID/MCM2/TYMS/PIM2/MCM7/MDM2/TFDP1/DHFR/RPA3/SEPTIN7/PCNA/BAX/RRM2",14
"GO:0042773","ATP synthesis coupled electron transport","9/168","98/18670",2.47426275196748e-07,1.76261765568731e-05,1.38099828286506e-05,"COX5A/UQCRH/BID/COX6A1/NDUFA4/NDUFC2/NDUFB4/NDUFA12/UQCRQ",9
"GO:0050853","B cell receptor signaling pathway","10/168","129/18670",2.60600849015538e-07,1.81329707035928e-05,1.42070524053269e-05,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/IGHV5-51/IGHV3-49/KLHL6/BAX/CD79B",10
"GO:0042407","cristae formation","6/168","33/18670",4.39607107027249e-07,2.98932832778529e-05,2.34211729031025e-05,"ATP5MC2/ATP5MF/ATP5MC3/ATP5PF/ATP5F1B/ATP5MC1",6
"GO:0044843","cell cycle G1/S phase transition","14/168","298/18670",5.33340558793241e-07,3.54612211535417e-05,2.7783612267428e-05,"CDK4/BID/MCM2/TYMS/PIM2/MCM7/MDM2/TFDP1/DHFR/RPA3/SEPTIN7/PCNA/BAX/RRM2",14
"GO:0006839","mitochondrial transport","13/168","256/18670",5.74785126347082e-07,3.73860238702276e-05,2.92916813815778e-05,"BID/ATP5MC2/PMAIP1/TFDP1/ATP5MF/ATP5MC3/HSPD1/PDCD5/ATP5PF/ATP5F1B/ATP5MC1/BAX/HSP90AA1",13
"GO:0050871","positive regulation of B cell activation","10/168","142/18670",6.36803506874883e-07,4.05386402674394e-05,3.17617337023598e-05,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/IGKC/IGHV5-51/TFRC/IGHV3-49/MIF",10
"GO:0016064","immunoglobulin mediated immune response","12/168","218/18670",6.77676543944825e-07,4.22418379058941e-05,3.30961768281826e-05,"IGHA2/IGLC3/IGLC1/IGLC2/BATF/IGKC/IGHV5-51/TFRC/IGHV3-49/HSPD1/C1QBP/POU2F2",12
"GO:0002449","lymphocyte mediated immunity","15/168","352/18670",7.12474746876643e-07,4.35045804623452e-05,3.40855265584164e-05,"IGHA2/IGLC3/IGLC1/IGLC2/BATF/IGKC/IGHV5-51/TFRC/IGHV3-49/SLAMF7/HSPD1/PRDX1/C1QBP/POU2F2/TUBB",15
"GO:0019724","B cell mediated immunity","12/168","221/18670",7.8345188490511e-07,4.68817607927218e-05,3.67315231091301e-05,"IGHA2/IGLC3/IGLC1/IGLC2/BATF/IGKC/IGHV5-51/TFRC/IGHV3-49/HSPD1/C1QBP/POU2F2",12
"GO:0050851","antigen receptor-mediated signaling pathway","14/168","316/18670",1.07335887058125e-06,6.29703870740999e-05,4.93368463319802e-05,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/IGKC/LGALS3/IGHV5-51/IGHV3-49/KLHL6/PHPT1/NFKBIZ/BAX/CD79B",14
"GO:0022904","respiratory electron transport chain","9/168","117/18670",1.12241328815836e-06,6.4581933810958e-05,5.05994816341836e-05,"COX5A/UQCRH/BID/COX6A1/NDUFA4/NDUFC2/NDUFB4/NDUFA12/UQCRQ",9
"GO:0006734","NADH metabolic process","6/168","40/18670",1.44616361888944e-06,8.16400292022113e-05,6.39643769467086e-05,"GAPDH/PKM/MDH2/TPI1/ENO1/PGAM1",6
"GO:1902600","proton transmembrane transport","10/168","163/18670",2.24517465514666e-06,0.000124399306818497,9.74659640743006e-05,"TESC/COX5A/ATP5MC2/COX6A1/NDUFA4/ATP5MF/ATP5MC3/ATP5PF/ATP5F1B/ATP5MC1",10
"GO:0007007","inner mitochondrial membrane organization","6/168","44/18670",2.58164061090541e-06,0.000140441249233254,0.000110034710822705,"ATP5MC2/ATP5MF/ATP5MC3/ATP5PF/ATP5F1B/ATP5MC1",6
"GO:0006735","NADH regeneration","5/168","27/18670",3.82246344975175e-06,0.000197186390373401,0.000154494121644231,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0061621","canonical glycolysis","5/168","27/18670",3.82246344975175e-06,0.000197186390373401,0.000154494121644231,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0061718","glucose catabolic process to pyruvate","5/168","27/18670",3.82246344975175e-06,0.000197186390373401,0.000154494121644231,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0061615","glycolytic process through fructose-6-phosphate","5/168","28/18670",4.61969337067721e-06,0.00023036870941777,0.00018049223046488,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0061620","glycolytic process through glucose-6-phosphate","5/168","28/18670",4.61969337067721e-06,0.00023036870941777,0.00018049223046488,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0019674","NAD metabolic process","7/168","76/18670",5.46858962617242e-06,0.000267429902529106,0.000209529409278187,"GAPDH/LDHB/PKM/MDH2/TPI1/ENO1/PGAM1",7
"GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle","5/168","29/18670",5.5416624187181e-06,0.000267429902529106,0.000209529409278187,"TYMS/TFDP1/DHFR/PCNA/RRM2",5
"GO:0002429","immune response-activating cell surface receptor signaling pathway","16/168","473/18670",6.02756676944862e-06,0.000286261583717306,0.000224283896333535,"IGHA2/IGLC3/IGLC1/IGLC2/ADA/IGKC/LGALS3/IGHV5-51/IGHV3-49/KLHL6/PHPT1/RAC1/NFKBIZ/BAX/HSP90AA1/CD79B",16
"GO:0090200","positive regulation of release of cytochrome c from mitochondria","5/168","30/18670",6.60179476788669e-06,0.000308633905398703,0.000241812449804008,"BIK/BID/PMAIP1/PDCD5/BAX",5
"GO:0006457","protein folding","11/168","227/18670",6.83183394695845e-06,0.00031447457183538,0.000246388570038485,"PPIA/HSPD1/PDCD5/CCT2/GRN/HSP90AA1/DNAJB1/HSPB1/PDIA2/HSP90B1/HSPA6",11
"GO:0043312","neutrophil degranulation","16/168","485/18670",8.25236956654858e-06,0.000374107420350202,0.000293110478862898,"LGALS3/PRDX6/FABP5/PPIA/NDUFC2/PA2G4/PKM/RAC1/CCT2/NME2/GRN/PGAM1/MIF/HSP90AA1/HSPA6/TUBB",16
"GO:0002283","neutrophil activation involved in immune response","16/168","488/18670",8.91235510458915e-06,0.000397996514521354,0.000311827412693166,"LGALS3/PRDX6/FABP5/PPIA/NDUFC2/PA2G4/PKM/RAC1/CCT2/NME2/GRN/PGAM1/MIF/HSP90AA1/HSPA6/TUBB",16
"GO:0045333","cellular respiration","10/168","193/18670",1.00923451011855e-05,0.000444063184452161,0.00034792031796192,"COX5A/UQCRH/BID/COX6A1/NDUFA4/NDUFC2/MDH2/NDUFB4/NDUFA12/UQCRQ",10
"GO:0006910","phagocytosis, recognition","7/168","84/18670",1.06672631380893e-05,0.000462557265350192,0.00036241029761289,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/IGHV5-51/IGHV3-49",7
"GO:0042119","neutrophil activation","16/168","498/18670",1.14665281462409e-05,0.000490112174479327,0.000383999371153061,"LGALS3/PRDX6/FABP5/PPIA/NDUFC2/PA2G4/PKM/RAC1/CCT2/NME2/GRN/PGAM1/MIF/HSP90AA1/HSPA6/TUBB",16
"GO:0002446","neutrophil mediated immunity","16/168","499/18670",1.17547899559952e-05,0.000495356782370952,0.000388108483795423,"LGALS3/PRDX6/FABP5/PPIA/NDUFC2/PA2G4/PKM/RAC1/CCT2/NME2/GRN/PGAM1/MIF/HSP90AA1/HSPA6/TUBB",16
"GO:0008637","apoptotic mitochondrial changes","8/168","124/18670",1.65203819422398e-05,0.000685260228570716,0.000536896470949544,"BIK/BID/PIM2/PMAIP1/TFDP1/HSPD1/PDCD5/BAX",8
"GO:0006007","glucose catabolic process","5/168","36/18670",1.67192502291652e-05,0.000685260228570716,0.000536896470949544,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0042100","B cell proliferation","7/168","95/18670",2.39566038880108e-05,0.000968623768012545,0.000758909770392604,"ADA/AHR/TFRC/HSPD1/BAX/MZB1/MIF",7
"GO:0042770","signal transduction in response to DNA damage","8/168","133/18670",2.74579536249723e-05,0.00109538929661223,0.00085822965225001,"BATF/BID/PMAIP1/MDM2/TFDP1/PCNA/BAX/MIF",8
"GO:0006898","receptor-mediated endocytosis","12/168","316/18670",3.0089820089243e-05,0.00118458870667125,0.000928116749844101,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/TFRC/AP1S1/CAV1/ADM/RAC1/HSP90AA1/HSP90B1",12
"GO:0006958","complement activation, classical pathway","8/168","137/18670",3.39780857148366e-05,0.00132029133063365,0.00103443878177637,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/IGHV5-51/IGHV3-49/C1QBP",8
"GO:1990542","mitochondrial transmembrane transport","7/168","101/18670",3.56435645612631e-05,0.00136725057906794,0.00107123101589653,"ATP5MC2/ATP5MF/ATP5MC3/HSPD1/ATP5PF/ATP5F1B/ATP5MC1",7
"GO:0002285","lymphocyte activation involved in immune response","9/168","181/18670",3.90812566421495e-05,0.00148014075789002,0.00115967966078703,"ADA/BATF/SEMA4A/LGALS3/TFRC/MDK/HSPD1/NFKBIZ/IRF4",9
"GO:0022900","electron transport chain","9/168","186/18670",4.83362875437011e-05,0.00180777715413442,0.00141638042578714,"COX5A/UQCRH/BID/COX6A1/NDUFA4/NDUFC2/NDUFB4/NDUFA12/UQCRQ",9
"GO:0009147","pyrimidine nucleoside triphosphate metabolic process","4/168","23/18670",4.90115017654788e-05,0.00181040016397917,0.00141843553517507,"NME1/TYMS/NME2/DUT",4
"GO:0030330","DNA damage response, signal transduction by p53 class mediator","7/168","107/18670",5.16555102083195e-05,0.00188479617735722,0.00147672427771409,"BATF/PMAIP1/MDM2/TFDP1/PCNA/BAX/MIF",7
"GO:0006221","pyrimidine nucleotide biosynthetic process","5/168","46/18670",5.65346950449736e-05,0.00203797358523568,0.00159673767742747,"NME1/TYMS/ERH/NME2/DUT",5
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","8/168","150/18670",6.47564775072783e-05,0.00230656405597353,0.00180717638356778,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/IGHV5-51/IGHV3-49/C1QBP",8
"GO:1904951","positive regulation of establishment of protein localization","14/168","456/18670",6.73544017162925e-05,0.0023708749404135,0.00185756349996512,"BID/MDK/GAPDH/PMAIP1/MDM2/TFDP1/PHPT1/PPIA/RAN/PDCD5/RAC1/CCT2/MIF/CCL3",14
"GO:0032461","positive regulation of protein oligomerization","4/168","25/18670",6.90404864406165e-05,0.00239375489851528,0.00187548978292764,"BIK/BID/PMAIP1/BAX",4
"GO:0090199","regulation of release of cytochrome c from mitochondria","5/168","48/18670",6.96045040677907e-05,0.00239375489851528,0.00187548978292764,"BIK/BID/PMAIP1/PDCD5/BAX",5
"GO:0071897","DNA biosynthetic process","9/168","196/18670",7.24757767423588e-05,0.0024641764092402,0.00193066453116307,"TYMS/POLD2/TFDP1/PPIA/PCLAF/CCT2/RPA3/PCNA/HSP90AA1",9
"GO:2001233","regulation of apoptotic signaling pathway","13/168","406/18670",8.10232959682852e-05,0.00269407300382349,0.00211078686304353,"BIK/LGALS3/BID/CAV1/PMAIP1/MDM2/TFDP1/PDCD5/ENO1/BAX/MIF/HSPB1/HMGB2",13
"GO:0042110","T cell activation","14/168","464/18670",8.1038292227311e-05,0.00269407300382349,0.00211078686304353,"DTX1/ADA/BATF/SEMA4A/EBI3/LGALS3/TFRC/CAV1/MDK/HSPD1/RAC1/NFKBIZ/IRF4/BAX",14
"GO:0009132","nucleoside diphosphate metabolic process","8/168","158/18670",9.32612148682672e-05,0.00306634675698742,0.00240246067682627,"NME1/GAPDH/AK2/PKM/NME2/TPI1/ENO1/PGAM1",8
"GO:0006959","humoral immune response","12/168","356/18670",9.45575808594965e-05,0.00307517697751754,0.00240937909123683,"IGHA2/IGLC3/IGLC1/IGLC2/EBI3/IGKC/IGHV5-51/IGHV3-49/BLNK/GAPDH/C1QBP/POU2F2",12
"GO:0006911","phagocytosis, engulfment","7/168","118/18670",9.61592728140343e-05,0.00309364026085581,0.00242384494122076,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/IGHV5-51/IGHV3-49",7
"GO:0006006","glucose metabolic process","9/168","209/18670",0.000118356104804988,0.00376724963379279,0.00295161305039986,"GOT2/GAPDH/FABP5/PMAIP1/PKM/MDH2/TPI1/ENO1/PGAM1",9
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","6/168","86/18670",0.000125925741668923,0.00392944017208753,0.00307868817310686,"BEX3/LGALS3/BID/PMAIP1/BAX/HMGB2",6
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","8/168","165/18670",0.000126078294291578,0.00392944017208753,0.00307868817310686,"BID/CAV1/PMAIP1/MDM2/ENO1/BAX/MIF/HSPB1",8
"GO:0050863","regulation of T cell activation","11/168","314/18670",0.000132736703443941,0.00409431151241517,0.00320786368496643,"DTX1/ADA/EBI3/LGALS3/TFRC/CAV1/MDK/HSPD1/RAC1/NFKBIZ/IRF4",11
"GO:0001844","protein insertion into mitochondrial membrane involved in apoptotic signaling pathway","4/168","30/18670",0.00014441651392071,0.00434224832876918,0.00340212040112896,"BID/PMAIP1/TFDP1/BAX",4
"GO:0009435","NAD biosynthetic process","5/168","56/18670",0.000146529662374964,0.00434224832876918,0.00340212040112896,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
"GO:0072528","pyrimidine-containing compound biosynthetic process","5/168","56/18670",0.000146529662374964,0.00434224832876918,0.00340212040112896,"NME1/TYMS/ERH/NME2/DUT",5
"GO:0008037","cell recognition","9/168","215/18670",0.000146579906820082,0.00434224832876918,0.00340212040112896,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/LGALS3/IGHV5-51/IGHV3-49/CCT2",9
"GO:0006094","gluconeogenesis","6/168","89/18670",0.000152228081169505,0.00442505982349938,0.0034670026129092,"GOT2/GAPDH/MDH2/TPI1/ENO1/PGAM1",6
"GO:0099024","plasma membrane invagination","7/168","127/18670",0.000152333276009504,0.00442505982349938,0.0034670026129092,"IGHA2/IGLC3/IGLC1/IGLC2/IGKC/IGHV5-51/IGHV3-49",7
"GO:0019320","hexose catabolic process","5/168","57/18670",0.000159460449133913,0.00458755445969873,0.00359431599414195,"GAPDH/PKM/TPI1/ENO1/PGAM1",5
